Detector;Time;qPKW;qLKW;vPKW;vLKW
det_ew06to05_0;900;2;0;22.64;0
det_ew07to06_0;900;5;0;24.91;0
det_ew08to07_0;900;3;0;21.72;0
det_ew09to08_0;900;2;0;29.17;0
det_ew12to11_0;900;2;0;24.27;0
det_ew13to12_0;900;2;0;21.95;0
det_ew14to13_0;900;2;0;21.17;0
det_ew15to14_0;900;3;0;46.23;0
det_ew18to17_0;900;1;0;24.30;0
det_ew19to18_0;900;0;0;0.00;0
det_ew20to19_0;900;1;0;21.29;0
det_ew21to20_0;900;1;0;29.71;0
det_ns01to06_0;900;2;0;26.66;0
det_ns02to07_0;900;3;0;27.02;0
det_ns03to08_0;900;1;0;28.32;0
det_ns06to12_0;900;4;0;21.16;0
det_ns07to13_0;900;0;0;0.00;0
det_ns08to14_0;900;3;0;21.77;0
det_ns12to18_0;900;3;0;22.52;0
det_ns13to19_0;900;2;0;22.10;0
det_ns14to20_0;900;4;0;21.91;0
det_ns18to24_0;900;2;0;21.42;0
det_ns19to25_0;900;3;0;22.98;0
det_ns20to26_0;900;1;0;19.83;0
det_sn06to01_0;900;2;0;21.42;0
det_sn07to02_0;900;3;0;22.71;0
det_sn08to03_0;900;1;0;22.58;0
det_sn12to06_0;900;2;0;25.01;0
det_sn13to07_0;900;3;0;21.46;0
det_sn14to08_0;900;3;0;26.50;0
det_sn18to12_0;900;1;0;22.83;0
det_sn19to13_0;900;3;0;22.78;0
det_sn20to14_0;900;3;0;22.29;0
det_sn24to18_0;900;2;0;28.68;0
det_sn25to19_0;900;3;0;26.16;0
det_sn26to20_0;900;1;0;29.59;0
det_we05to06_0;900;1;0;27.02;0
det_we06to07_0;900;1;0;23.24;0
det_we07to08_0;900;2;0;22.70;0
det_we08to09_0;900;1;0;23.17;0
det_we11to12_0;900;4;0;31.20;0
det_we12to13_0;900;4;0;26.08;0
det_we13to14_0;900;2;0;21.88;0
det_we14to15_0;900;2;0;25.91;0
det_we17to18_0;900;1;0;27.61;0
det_we18to19_0;900;2;0;21.94;0
det_we19to20_0;900;2;0;26.97;0
det_we20to21_0;900;3;0;22.68;0
det_ew06to05_0;905;1;0;22.11;0
det_ew07to06_0;905;0;0;0.00;0
det_ew08to07_0;905;0;0;0.00;0
det_ew09to08_0;905;0;0;0.00;0
det_ew12to11_0;905;0;0;0.00;0
det_ew13to12_0;905;0;0;0.00;0
det_ew14to13_0;905;0;0;0.00;0
det_ew15to14_0;905;0;0;0.00;0
det_ew18to17_0;905;0;0;0.00;0
det_ew19to18_0;905;0;0;0.00;0
det_ew20to19_0;905;0;0;0.00;0
det_ew21to20_0;905;0;0;0.00;0
det_ns01to06_0;905;0;0;0.00;0
det_ns02to07_0;905;0;0;0.00;0
det_ns03to08_0;905;0;0;0.00;0
det_ns06to12_0;905;0;0;0.00;0
det_ns07to13_0;905;0;0;0.00;0
det_ns08to14_0;905;0;0;0.00;0
det_ns12to18_0;905;0;0;0.00;0
det_ns13to19_0;905;0;0;0.00;0
det_ns14to20_0;905;0;0;0.00;0
det_ns18to24_0;905;0;0;0.00;0
det_ns19to25_0;905;0;0;0.00;0
det_ns20to26_0;905;0;0;0.00;0
det_sn06to01_0;905;0;0;0.00;0
det_sn07to02_0;905;0;0;0.00;0
det_sn08to03_0;905;0;0;0.00;0
det_sn12to06_0;905;0;0;0.00;0
det_sn13to07_0;905;0;0;0.00;0
det_sn14to08_0;905;0;0;0.00;0
det_sn18to12_0;905;0;0;0.00;0
det_sn19to13_0;905;0;0;0.00;0
det_sn20to14_0;905;0;0;0.00;0
det_sn24to18_0;905;0;0;0.00;0
det_sn25to19_0;905;0;0;0.00;0
det_sn26to20_0;905;0;0;0.00;0
det_we05to06_0;905;0;0;0.00;0
det_we06to07_0;905;0;0;0.00;0
det_we07to08_0;905;0;0;0.00;0
det_we08to09_0;905;0;0;0.00;0
det_we11to12_0;905;0;0;0.00;0
det_we12to13_0;905;0;0;0.00;0
det_we13to14_0;905;0;0;0.00;0
det_we14to15_0;905;0;0;0.00;0
det_we17to18_0;905;0;0;0.00;0
det_we18to19_0;905;0;0;0.00;0
det_we19to20_0;905;0;0;0.00;0
det_we20to21_0;905;0;0;0.00;0
