Detector;Time;qPKW;qLKW;vPKW;vLKW
det_01to02_0;900;8;0;52.88;0
det_02to03_0;900;2;0;30.13;0
det_02to05_0;900;4;0;67.36;0
det_02to06_0;900;2;0;28.03;0
det_03to04_0;900;8;0;20.58;0
det_05to07_0;900;4;0;49.83;0
det_06to08_0;900;2;0;27.91;0
det_07to03_0;900;4;0;18.67;0
det_08to03_0;900;2;0;28.11;0
det_01to02_0;905;9;0;50.61;0
det_02to03_0;905;1;0;28.14;0
det_02to05_0;905;4;0;65.46;0
det_02to06_0;905;3;0;29.85;0
det_03to04_0;905;8;0;22.99;0
det_05to07_0;905;4;0;50.32;0
det_06to08_0;905;3;0;29.57;0
det_07to03_0;905;4;0;19.89;0
det_08to03_0;905;3;0;29.52;0
det_01to02_0;910;8;0;45.74;0
det_02to03_0;910;6;0;32.27;0
det_02to05_0;910;2;0;67.56;0
det_02to06_0;910;1;0;27.60;0
det_03to04_0;910;8;0;18.45;0
det_05to07_0;910;2;0;49.80;0
det_06to08_0;910;1;0;28.13;0
det_07to03_0;910;2;0;19.00;0
det_08to03_0;910;1;0;27.98;0
det_01to02_0;915;0;0;0.00;0
det_02to03_0;915;0;0;0.00;0
det_02to05_0;915;0;0;0.00;0
det_02to06_0;915;0;0;0.00;0
det_03to04_0;915;1;0;17.79;0
det_05to07_0;915;0;0;0.00;0
det_06to08_0;915;0;0;0.00;0
det_07to03_0;915;0;0;0.00;0
det_08to03_0;915;0;0;0.00;0
