0	0.280038	0.294048	0.259424
10	0.292143	0.297459	0.288774
20	0.297678	0.300943	0.296008
30	0.302372	0.307001	0.299499
40	0.306624	0.311841	0.304359
50	0.310849	0.319126	0.308684
60	0.315914	0.320503	0.312455
70	0.321725	0.325604	0.319458
80	0.324524	0.328583	0.323062
90	0.327727	0.331566	0.325782
100	0.330134	0.333478	0.328583
110	0.332582	0.33484	0.331424
120	0.335714	0.340646	0.333914
130	0.339324	0.342009	0.337071
140	0.341692	0.344956	0.340127
150	0.343613	0.348501	0.341693
160	0.345589	0.348557	0.344413
170	0.347138	0.35377	0.345611
180	0.348354	0.35377	0.346823
190	0.350602	0.35377	0.348557
200	0.352304	0.356117	0.351071
210	0.353373	0.356117	0.35206
220	0.353944	0.356117	0.353059
230	0.35503	0.357342	0.35383
240	0.356206	0.358833	0.354847
250	0.357642	0.361046	0.356178
260	0.359108	0.362787	0.357713
270	0.360037	0.362787	0.359146
280	0.360546	0.362787	0.359523
290	0.361674	0.36344	0.360472
300	0.362109	0.36344	0.361046
310	0.362838	0.367105	0.361687
320	0.364087	0.367991	0.362527
330	0.364691	0.369092	0.363178
340	0.365788	0.369092	0.364162
350	0.366455	0.369092	0.36509
360	0.367424	0.371118	0.366093
370	0.368402	0.373185	0.367105
380	0.369661	0.373907	0.367991
390	0.37044	0.373907	0.368747
400	0.370988	0.373907	0.369647
410	0.371467	0.373907	0.370345
420	0.37194	0.374343	0.370837
430	0.372125	0.374343	0.371048
440	0.372521	0.374343	0.371543
450	0.372716	0.374416	0.371684
460	0.37308	0.374781	0.37204
470	0.373317	0.37544	0.372325
480	0.373666	0.37544	0.372826
490	0.373944	0.376922	0.373185
500	0.37422	0.376922	0.373401
