Detector;Time;qPKW;qLKW;vPKW;vLKW
det_02to04_0;900;11;0;68.13;0
det_03to04_0;900;6;0;23.18;0
det_04to01_0;900;4;0;28.86;0
det_04to02_0;900;12;0;63.71;0
det_04to05_0;900;16;0;50.61;0
det_05to04_0;900;16;0;58.43;0
det_05to07_0;900;11;0;63.92;0
det_05to08_0;900;5;0;48.38;0
det_06to05_0;900;4;0;23.11;0
det_07to05_0;900;13;0;67.79;0
det_02to04_0;905;13;0;65.49;0
det_03to04_0;905;3;0;23.44;0
det_04to01_0;905;6;0;30.89;0
det_04to02_0;905;10;0;61.36;0
det_04to05_0;905;16;0;64.71;0
det_05to04_0;905;16;0;52.12;0
det_05to07_0;905;11;0;65.10;0
det_05to08_0;905;5;0;64.16;0
det_06to05_0;905;5;0;23.27;0
det_07to05_0;905;11;0;64.64;0
det_02to04_0;910;15;0;67.38;0
det_03to04_0;910;2;0;23.08;0
det_04to01_0;910;3;0;33.79;0
det_04to02_0;910;15;0;50.41;0
det_04to05_0;910;18;0;62.93;0
det_05to04_0;910;18;0;46.47;0
det_05to07_0;910;9;0;68.82;0
det_05to08_0;910;9;0;57.79;0
det_06to05_0;910;6;0;22.95;0
det_07to05_0;910;11;0;60.57;0
det_02to04_0;915;11;0;65.49;0
det_03to04_0;915;6;0;23.20;0
det_04to01_0;915;4;0;30.40;0
det_04to02_0;915;12;0;52.47;0
det_04to05_0;915;16;0;51.64;0
det_05to04_0;915;16;0;45.23;0
det_05to07_0;915;10;0;50.82;0
det_05to08_0;915;6;0;65.78;0
det_06to05_0;915;7;0;23.26;0
det_07to05_0;915;9;0;60.20;0
det_02to04_0;920;9;0;62.12;0
det_03to04_0;920;7;0;22.91;0
det_04to01_0;920;11;0;31.34;0
det_04to02_0;920;6;0;66.93;0
det_04to05_0;920;17;0;47.45;0
det_05to04_0;920;17;0;54.05;0
det_05to07_0;920;11;0;58.12;0
det_05to08_0;920;6;0;48.27;0
det_06to05_0;920;1;0;22.61;0
det_07to05_0;920;16;0;66.81;0
det_02to04_0;925;11;0;61.61;0
det_03to04_0;925;6;0;23.05;0
det_04to01_0;925;4;0;35.94;0
det_04to02_0;925;12;0;59.94;0
det_04to05_0;925;17;0;50.77;0
det_05to04_0;925;17;0;51.49;0
det_05to07_0;925;10;0;51.00;0
det_05to08_0;925;6;0;61.32;0
det_06to05_0;925;5;0;23.32;0
det_07to05_0;925;12;0;63.09;0
det_02to04_0;930;0;0;0.00;0
det_03to04_0;930;0;0;0.00;0
det_04to01_0;930;1;0;31.55;0
det_04to02_0;930;0;0;0.00;0
det_04to05_0;930;0;0;0.00;0
det_05to04_0;930;0;0;0.00;0
det_05to07_0;930;1;0;54.55;0
det_05to08_0;930;0;0;0.00;0
det_06to05_0;930;0;0;0.00;0
det_07to05_0;930;0;0;0.00;0
